id,chords
0003,"['Amin', 'Amin', 'Cmaj', 'Cmaj', 'Amin', 'Amin', 'Cmaj', 'Cmaj', 'Amin', 'Amin', 'Cmaj', 'Cmaj', 'Amin', 'Amin', 'Cmaj', 'Cmaj', 'Amin', 'Amin', 'Cmaj', 'Cmaj', 'Fmaj', 'Fmaj', 'Dmaj', 'Dmaj', 'Gmaj', 'Gmaj', 'Cmaj', 'Cmaj', 'Amaj', 'Amaj', 'Cmaj', 'Cmaj', 'Amaj', 'Amaj', 'Cmaj', 'Cmaj', 'Fmaj', 'Fmaj', 'Dmaj', 'Dmaj', 'Gmaj', 'Gmaj', 'Cmaj', 'Cmaj', 'Amin', 'Amin', 'Cmaj', 'Cmaj', 'Amin', 'Amin', 'Cmaj', 'Cmaj', 'Fmaj', 'Fmaj', 'Dmaj', 'Dmaj', 'Gmaj', 'Gmaj', 'Cmaj', 'Cmaj', 'Amaj', 'Amaj', 'Cmaj', 'Cmaj', 'Amaj', 'Amaj', 'Cmaj', 'Cmaj', 'Fmaj', 'Fmaj', 'Dmaj', 'Dmaj', 'Gmaj', 'Gmaj', 'Cmaj', 'Cmaj', 'Amin', 'Amin', 'Cmaj', 'Cmaj', 'Amin', 'Amin', 'Cmaj', 'Cmaj', 'Amin']"
0004,"['Abmaj', 'Dbmaj', 'Abmaj', 'G', 'C7', 'Fmin', 'C7', 'C7', 'Fmin', 'C7', 'Fmin', 'C7', 'Fmin', 'Bbmin7', 'Eb7', 'Abmaj', 'Abmaj', 'G', 'C7', 'Fmin', 'C7', 'Fmin', 'C7', 'Fmin', 'Bbmin7', 'Cmin7', 'Eb', 'Ebmaj', 'Abmaj', 'Ab7', 'Dbmaj', 'Dbmaj', 'Abmaj', 'Abmaj', 'Eb7', 'Eb7', 'Abmaj', 'Abmaj7', 'Dbmaj', 'Gbmaj', 'Dbmaj', 'Dbmaj7', 'Cmin7', 'Bbmin7', 'Abmaj', 'Gbmaj', 'Dbmaj', 'Abmaj', 'Abmaj', 'Dbmaj', 'Gb7', 'Fmin7', 'Bbmin7', 'Eb', 'Ebmaj', 'Abmaj', 'Ab7', 'Dbmaj', 'Dbmaj', 'Abmaj', 'Abmaj', 'Eb7', 'Eb7', 'Abmaj', 'Abmaj7', 'Dbmaj', 'Gbmaj', 'Dbmaj', 'Dbmaj7', 'Cmin7', 'Bbmin7', 'Abmaj', 'Dbmaj', 'Abmaj', 'Dbmaj', 'Abmaj', 'Dbmaj', 'Abmaj', 'Dbmaj', 'Abmaj', 'Dbmaj', 'Abmaj', 'Dbmaj']"
0006,"['C5', 'Cmaj', 'Gmaj', 'Fmaj', 'Gmaj', 'Cmaj', 'Cmaj', 'Gmaj', 'Fmaj', 'Gmaj', 'Cmaj', 'Cmaj', 'Fsus2', 'Fmaj', 'Fmaj', 'G7', 'Cmaj', 'Gmaj', 'Fmaj', 'Gmaj', 'Cmaj', 'Cmaj', 'Cmaj', 'Gmaj', 'Fmaj', 'Gmaj', 'Cmaj', 'Cmaj', 'Gmaj', 'Fmaj', 'Gmaj', 'Cmaj', 'Emin', 'Amin', 'Amaj', 'Fmaj', 'Gmaj', 'Cmaj', 'Gmaj', 'Fmaj', 'Gmaj', 'Cmaj', 'Cmaj', 'Cmaj', 'Gmaj', 'Fmaj', 'Gmaj', 'Cmaj', 'Cmaj', 'Gmaj', 'Fmaj', 'Gmaj', 'Cmaj', 'Emin', 'Amin', 'Fmaj', 'Gmaj', 'Cmaj', 'Gmaj', 'Fmaj', 'Gmaj', 'Cmaj', 'Cmaj', 'Cmaj', 'Cmaj']"
0010,"['Cmaj', 'Cmaj', 'Cmaj', 'Dmin', 'Dmin', 'Fmaj', 'Gmaj', 'Gmaj', 'Cmaj', 'Cmaj', 'Cmaj', 'Dmin', 'Dmin', 'Fmaj', 'Gmaj', 'Gmaj', 'Cmaj', 'Gmin7', 'Cmaj', 'Bbmaj', 'Fmaj', 'Gmaj', 'Cmaj', 'Cmaj', 'Dmin', 'Dmin', 'Fmaj', 'Gmaj', 'Gmaj', 'Cmaj', 'Cmaj', 'Cmaj', 'Dmin', 'Dmin', 'Fmaj', 'Gmaj', 'Gmaj', 'Cmaj', 'Fmaj', 'Cmaj', 'Cmaj', 'Fmaj', 'Gmaj', 'Cmaj', 'Fmaj', 'Cmaj', 'Cmaj', 'Dmin7', 'Cmaj', 'Bbmaj', 'Fmaj', 'Fmaj', 'Bbmaj', 'Fmaj', 'Bbmaj', 'Fmaj', 'Fmaj', 'Gmaj', 'Gmaj', 'Cmaj', 'Cmaj', 'Cmaj', 'Dmin', 'Dmin', 'Fmaj', 'Gmaj', 'Gmaj', 'Cmaj', 'Cmaj', 'Cmaj', 'Dmin', 'Dmin', 'Fmaj', 'Gmaj', 'Gmaj', 'Cmaj', 'Gmin7', 'Cmaj', 'Bbmaj', 'Fmaj', 'Gmaj', 'Cmaj', 'Cmaj', 'Dmin', 'Dmin', 'Fmaj', 'Gmaj', 'Gmaj', 'Cmaj', 'Cmaj', 'Cmaj', 'Dmin', 'Dmin', 'Fmaj', 'Gmaj', 'Gmaj', 'Cmaj', 'Fmaj', 'Cmaj', 'Cmaj', 'Fmaj', 'Gmaj', 'Cmaj', 'Fmaj', 'Cmaj', 'Cmaj', 'Dmin7', 'Cmaj', 'Bbmaj', 'Fmaj', 'Fmaj', 'Bbmaj', 'Fmaj', 'Bbmaj', 'Fmaj', 'Fmaj', 'Gmaj', 'Gmaj', 'Cmaj', 'Fmaj', 'Cmaj', 'Cmaj', 'Fmaj', 'Gmaj', 'Cmaj', 'Fmaj', 'Cmaj', 'Cmaj', 'Dmin7', 'Cmaj', 'Gmin7', 'Cmaj', 'Bbmaj', 'Fmaj', 'Gmaj', 'Cmaj', 'Cmaj', 'Dmin', 'Dmin', 'Fmaj', 'Gmaj', 'Gmaj', 'Cmaj', 'Cmaj', 'Cmaj', 'Dmin', 'Dmin', 'Fmaj', 'Gmaj', 'Gmaj', 'Cmaj', 'Fmaj', 'Cmaj', 'Cmaj', 'Fmaj', 'Gmaj', 'Cmaj', 'Fmaj', 'Cmaj', 'Cmaj', 'Dmin7', 'Cmaj', 'Bbmaj', 'Fmaj', 'Fmaj', 'Bbmaj', 'Fmaj', 'Bbmaj', 'Fmaj', 'Fmaj', 'Gmaj', 'Gmaj', 'Cmaj', 'Fmaj', 'Cmaj', 'Cmaj', 'Fmaj', 'Gmaj', 'Cmaj', 'Fmaj', 'Cmaj', 'Cmaj', 'Dmin7', 'Cmaj', 'Gmaj', 'Gmaj', 'Cmaj']"
0012,"['Emin', 'F#min', 'Gmaj', 'Amaj', 'Emin', 'F#min', 'Gmaj', 'Amaj', 'Amaj', 'Gmaj', 'Gmaj', 'Dmaj', 'Dmaj', 'Gmaj', 'Dmaj', 'Amaj', 'Amaj', 'Gmaj', 'Gmaj', 'Dmaj', 'Dmaj', 'Gmaj', 'Dmaj', 'Amaj', 'Amaj', 'Amaj', 'Amaj', 'Dmaj', 'Dmaj', 'F#min', 'F#min', 'Gmaj', 'Gmaj', 'Emin', 'F#maj', 'Gmaj', 'Amaj', 'Dmaj', 'Dmaj', 'F#min', 'F#min', 'Gmaj', 'Emin', 'A', 'Dmaj', 'Dmaj', 'Gmaj', 'Gmaj', 'Dmaj', 'Dmaj', 'Gmaj', 'Dmaj', 'Amaj', 'Amaj', 'Gmaj', 'Gmaj', 'Dmaj', 'Dmaj', 'Gmaj', 'Dmaj', 'Amaj', 'Amaj', 'Amaj', 'Amaj', 'Dmaj', 'Dmaj', 'F#min', 'F#min', 'Gmaj', 'Gmaj', 'Emin', 'F#maj', 'Gmaj', 'Amaj', 'Dmaj', 'Dmaj', 'F#min', 'F#min', 'Gmaj', 'Emin', 'A', 'Dmaj', 'Dmaj', 'Gmaj', 'Gmaj', 'Emin', 'F#min', 'Gmaj', 'Amaj', 'Amaj', 'Amaj', 'Dmaj', 'Dmaj', 'F#min', 'F#min', 'Gmaj', 'Gmaj', 'Emin', 'F#maj', 'Gmaj', 'Amaj', 'Dmaj', 'Dmaj', 'F#min', 'F#min', 'Gmaj', 'Emin', 'A', 'Dmaj', 'Dmaj', 'F#min', 'F#min', 'Gmaj', 'Gmaj', 'Emin', 'F#maj', 'Gmaj', 'Amaj', 'Dmaj', 'Dmaj', 'F#min', 'F#min', 'Gmaj', 'Emin', 'A', 'Dmaj', 'Dmaj']"
0015,"['Dbmin', 'Dbmin', 'Gb', 'Gb', 'Eb7', 'Eb7', 'Eb7', 'Eb7', 'Eb7', 'Eb7', 'Eb7', 'Eb7', 'Eb7', 'Eb7', 'Eb7', 'Eb7', 'Eb7', 'Eb7', 'Ab7', 'Ab7', 'Ab7', 'Ab7', 'Eb7', 'Eb7', 'Dbmaj', 'Abmaj', 'Eb7', 'Eb7', 'Eb7', 'Eb7', 'Eb7', 'Eb7', 'Eb7', 'Eb7', 'Eb7', 'Eb7', 'Ab7', 'Ab7', 'Ab7', 'Ab7', 'Eb7', 'Eb7', 'Dbmaj', 'Abmaj', 'Eb7', 'Eb7', 'Eb7', 'Eb7', 'Eb7', 'Eb7', 'Eb7', 'Eb7', 'Dbmaj', 'Abmaj', 'Eb7', 'Eb7', 'Dbmaj', 'Abmaj', 'Eb7', 'Eb7', 'Eb7', 'Eb7', 'Eb7', 'Eb7', 'Eb7', 'Eb7', 'Eb7', 'Eb7', 'Eb7', 'Eb7']"
0016,"['Amin', 'Amin', 'Amin', 'Amin', 'Amin', 'Amin', 'Amin', 'Amin', 'Amin', 'Amin', 'Amin', 'Amin', 'Amin', 'Amin', 'Amin', 'Amin', 'Fmaj', 'Fmaj', 'Gmaj', 'Gmaj', 'Amin', 'Amin', 'Amin', 'Amin', 'Amin', 'Amin', 'Amin', 'Amin', 'Amin', 'Amin', 'Amin', 'Amin', 'Fmaj', 'Fmaj', 'Gmaj', 'Gmaj', 'Amin', 'Amin', 'Amin', 'Amin', 'Dmin', 'Dmin', 'Cmaj', 'Fmaj', 'Gmaj', 'E7', 'Amin', 'Amin', 'Dmin', 'Dmin', 'Cmaj', 'Fmaj', 'Gmaj', 'E7', 'Amin', 'Amin', 'Amin', 'Amin', 'Amin', 'Amin', 'Amin', 'Amin', 'Amin', 'Amin', 'Amin', 'Amin', 'Fmaj', 'Fmaj', 'Gmaj', 'Gmaj', 'Amin', 'Amin', 'Amin', 'Amin', 'Amin', 'Amin', 'Amin', 'Amin', 'Amin', 'Amin', 'Amin', 'Amin', 'Fmaj', 'Fmaj', 'Gmaj', 'Gmaj', 'Amin', 'Amin', 'Amin', 'Amin', 'Dmin', 'Dmin', 'Cmaj', 'Fmaj', 'Gmaj', 'E7', 'Amin', 'Amin', 'Dmin', 'Dmin', 'Cmaj', 'Fmaj', 'Gmaj', 'E7', 'Amin', 'Amin', 'Amin', 'Amin', 'Dmin', 'Dmin', 'Cmaj', 'Fmaj', 'Gmaj', 'E7', 'Amin', 'Amin', 'Dmin', 'Dmin', 'Cmaj', 'Fmaj', 'Gmaj', 'E7', 'Amin', 'Amin', 'Amin', 'Amin', 'Amin', 'Amin']"
0018,"['Cmaj', 'Gmaj', 'Amin', 'Gmaj', 'Cmin7', 'Cmin7', 'Fmaj', 'Fmaj', 'Cmaj', 'Cmaj', 'Cmin', 'Cmin', 'Fmin', 'Fmin', 'Abmaj', 'Bbmaj', 'Cmaj', 'Cmaj', 'Cmin', 'Cmin', 'Fmin', 'Fmin', 'Abmaj', 'Bbmaj', 'Cmaj', 'Cmaj', 'Fsus2', 'Fmin', 'Gmin7', 'Fmin9', 'Gmin7', 'Fmin9', 'Gmin7', 'Fmin9', 'Fmaj', 'Gmaj', 'Cmaj', 'Gmaj', 'Amin', 'Gmaj', 'Cmin7', 'Cmin7', 'Fmaj', 'Fmaj', 'Cmaj', 'Cmaj', 'Cmaj', 'Gmaj', 'Amin', 'Gmaj', 'Cmin7', 'Cmin7', 'Fmaj', 'Fmaj', 'Cmaj', 'Cmaj', 'Cmin', 'Cmin', 'Fmin', 'Fmin', 'Abmaj', 'Bbmaj', 'Cmaj', 'Cmaj', 'Cmin', 'Cmin', 'Fmin', 'Fmin', 'Abmaj', 'Bbmaj', 'Cmaj', 'Cmaj', 'Fsus2', 'Fmin', 'Gmin7', 'Fmin9', 'Gmin7', 'Fmin9', 'Gmin7', 'Fmin9', 'Fmaj', 'Gmaj', 'Cmaj', 'Gmaj', 'Amin', 'Gmaj', 'Cmin7', 'Cmin7', 'Fmaj', 'Fmaj', 'Cmaj', 'Cmaj', 'Gmaj', 'Gmaj', 'Fmaj', 'Fmaj', 'A', 'A', 'Dmin7', 'G', 'Cmaj', 'Gmaj', 'Amin', 'Gmaj', 'Cmin7', 'Cmin7', 'Fmaj', 'Fmaj', 'Cmaj', 'Cmaj', 'Cmaj', 'Gmaj', 'Amin', 'Gmaj', 'Cmin7', 'Cmin7', 'Fmaj', 'Fmaj', 'Cmaj', 'Cmaj', 'Cmaj', 'Gmaj', 'Amin', 'Gmaj', 'Cmin7', 'Cmin7', 'Fmaj', 'Fmaj', 'Cmaj', 'Cmaj', 'Cmaj', 'Gmaj', 'Amin', 'Gmaj', 'Cmin7', 'Cmin7', 'Fmaj']"
0019,"['Bbmin', 'Ebmin', 'Gb', 'Abmaj', 'Dbmaj', 'Dbmaj', 'Gbmaj', 'Abmaj', 'Dbmaj', 'Dbmaj', 'Gbmaj', 'Abmaj', 'Gbmaj', 'Abmaj', 'Dbmaj', 'Gbmaj', 'Abmaj', 'Dbmaj', 'Bbmin', 'Bbmin', 'Gbmaj', 'Abmaj', 'Gbmaj', 'Dbmaj', 'Abmaj', 'Dbmaj', 'Db7', 'Gbmaj', 'Dbmaj', 'Abmaj', 'Gbmaj', 'Dbmaj', 'Bbmin', 'Ebmin', 'Gb', 'Abmaj', 'Dbmaj', 'Dbmaj', 'Gbmaj', 'Abmaj', 'Dbmaj', 'Dbmaj', 'Gbmaj', 'Abmaj', 'Gbmaj', 'Abmaj', 'Dbmaj', 'Gbmaj', 'Abmaj', 'Dbmaj', 'Bbmin', 'Bbmin', 'Gbmaj', 'Abmaj', 'Gbmaj', 'Dbmaj', 'Abmaj', 'Dbmaj', 'Db7', 'Gbmaj', 'Dbmaj', 'Abmaj', 'Gbmaj', 'Bbmin', 'Abmaj', 'Gbmaj', 'Dbmaj', 'Abmaj', 'Dbmaj', 'Db7', 'Gbmaj', 'Dbmaj', 'Abmaj', 'Gbmaj', 'Dbmaj']"
0021,"['Gmaj', 'Dmaj', 'Gmaj', 'Dmaj', 'Cmaj', 'Dmaj', 'Gmaj', 'Dmaj', 'Gmaj', 'Dmaj', 'Gmaj', 'Dmaj', 'Cmaj', 'Dmaj', 'Gmaj', 'Dmaj', 'Gmaj', 'Dmaj', 'Gmaj', 'Dmaj', 'Cmaj', 'Dmaj', 'Gmaj', 'Dmaj', 'Gmaj', 'Dmaj', 'Gmaj', 'Dmaj', 'Cmaj', 'Dmaj', 'Gmaj', 'Dmaj', 'Gmaj', 'Dmaj', 'Cmaj', 'Emin', 'Gmaj', 'Dmaj', 'Cmaj', 'Emin', 'Amin', 'Bmin', 'Emin', 'Emin', 'Amin', 'Bmin', 'Cmaj', 'Dmaj', 'Gmaj', 'Dmaj', 'Gmaj', 'Dmaj', 'Cmaj', 'Dmaj', 'Gmaj', 'Dmaj', 'Gmaj', 'Dmaj', 'Gmaj', 'Dmaj', 'Cmaj', 'Dmaj', 'Gmaj', 'Dmaj', 'Gmaj', 'Dmaj', 'Cmaj', 'Emin', 'Gmaj', 'Dmaj', 'Cmaj', 'Emin', 'Amin', 'Bmin', 'Emin', 'Emin', 'Amin', 'Bmin', 'Cmaj', 'Dmaj', 'Gmaj', 'Dmaj', 'Gmaj', 'Dmaj', 'Cmaj', 'Dmaj', 'Gmaj', 'Dmaj', 'Gmaj', 'Dmaj', 'Gmaj', 'Dmaj', 'Cmaj', 'Dmaj', 'Gmaj', 'D#dim', 'Emin', 'Dmaj', 'Emin', 'Dmaj', 'Cmaj', 'Emin', 'Dmaj', 'Emin', 'Dmaj', 'Cmaj', 'Cmaj', 'Gmaj', 'Dmaj', 'Gmaj', 'Dmaj', 'Cmaj', 'Dmaj', 'Gmaj', 'Dmaj', 'Gmaj', 'Dmaj', 'Gmaj', 'Dmaj', 'Cmaj', 'Dmaj', 'Gmaj', 'Dmaj', 'Gmaj', 'Dmaj', 'Gmaj', 'Dmaj', 'Cmaj', 'Dmaj', 'Gmaj', 'Dmaj', 'Gmaj', 'Dmaj', 'Gmaj', 'Dmaj', 'Cmaj', 'Dmaj', 'Gmaj', 'Dmaj', 'Amin', 'Bmin', 'Emin', 'Emin', 'Amin', 'Bmin', 'Cmaj', 'Dmaj', 'Dmaj', 'Gmaj', 'Dmaj', 'Gmaj', 'Dmaj', 'Cmaj', 'Dmaj', 'Gmaj', 'Dmaj', 'Gmaj', 'Dmaj', 'Gmaj', 'Dmaj', 'Cmaj', 'Dmaj', 'Gmaj', 'Dmaj', 'Gmaj', 'Dmaj', 'Gmaj', 'Dmaj', 'Cmaj', 'Dmaj', 'Gmaj', 'Dmaj', 'Gmaj', 'Dmaj', 'Gmaj', 'Dmaj', 'Cmaj', 'Dmaj', 'Gmaj', 'Dmaj', 'Gmaj', 'Dmaj', 'Gmaj', 'Dmaj', 'Cmaj', 'Dmaj', 'Gmaj', 'Dmaj', 'Gmaj', 'Dmaj', 'Gmaj', 'Dmaj', 'Cmaj', 'Dmaj', 'Gmaj', 'Dmaj', 'Gmaj', 'Cmaj', 'Gmaj', 'Cmaj', 'Gmaj', 'Cmaj', 'Gmaj']"
